,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,genre,kind
7,mois,month
8,laisser,let
9,aucun,no
10,eux,them
11,ville,city
12,parlé,speak
13,arrivé,come
14,devrait,should
15,longtemps,long time
16,vont,will
17,pendant,while
18,revoir,meet again
19,aucune,any
20,compris,understood
21,savais,knew
22,étaient,were
23,attention,Warning
24,voici,here is
25,pourrais,could
26,affaire,case
27,donner,give
28,type,type
29,leurs,their
30,donné,given
31,corps,body
32,yeux,eyes
33,façon,way
34,dont,whose
35,trouve,find
36,premier,first
37,main,hand
38,première,first
39,côté,side
40,sois,be
41,tiens,here
42,matin,morning
43,tellement,so much
44,point,point
45,venu,came
46,suite,after
47,pardon,sorry
48,vers,towards
49,minutes,minutes
50,demandé,request
51,chambre,bedroom
52,mis,placed
53,droit,law
54,aimerais,would like to
55,aujourd'hui,today
56,mari,husband
57,cause,cause
58,enfin,finally
59,espère,hope
60,eau,water
61,parti,left
62,nouvelle,new
63,boulot,job
64,arrêter,Stop
65,dirait,would say
66,terre,Earth
67,donne,given
68,loin,far
69,croire,believe
70,chérie,sweetheart
71,plutôt,rather
72,filles,girls
73,jouer,to play
74,bureau,office
